Boxer,Date,Purse,lnRPurse,weight,Age,Wins,Losses,KO,W-Title,PPV,RDS
"Caldwell, Caleb",2009.05.22,1000.0,7.0434258793313,169.0,24.9166666666667,2,5,2,0,0,4
"Goins, Michael J.",2009.05.22,1000.0,7.0434258793313,213.0,34.75,1,2,1,0,0,4
"Fletes, Carlos",2009.05.22,1000.0,7.0434258793313,221.0,39.25,0,0,0,0,0,4
"McCall, Elijah K.",2009.05.22,1000.0,7.0434258793313,222.0,21.1666666666667,2,0,2,0,0,4
"Davis, Chad J.",2009.05.22,1200.0,7.22574743612525,221.0,30.4424657534248,1,2,0,0,0,4
"Gonzalez, Joel",2009.05.22,1000.0,7.0434258793313,145.0,31.8333333333335,2,3,1,0,0,4
"Hughes, Lawrence L.",2009.05.22,1000.0,7.0434258793313,142.0,25.1666666666667,0,0,0,0,0,4
"Liles, Patrick M.",2009.05.22,1500.0,7.44889098743946,189.0,31.0833333333335,7,1,7,0,0,6
"Namauu, Henry CJ",2009.05.22,1500.0,7.44889098743946,197.0,24.6666666666667,3,3,2,0,0,6
"Pacheco, Jose",2009.05.24,1250.0,7.26656943064551,122.5,24.9166666666667,1,5,0,0,0,4
"Gonzalez, Mario",2009.05.24,1250.0,7.26656943064551,117.5,20.3333333333335,0,3,0,0,0,4
"de Oca, Juan P.",2009.07.03,1000.0,7.0434258793313,154.0,29.0833333333333,9,16,6,0,0,10
"Pacheco, Jose",2009.07.03,1500.0,7.44889098743946,121.0,25.0833333333333,2,5,0,0,0,4
"Romero, Pedro Rodrigo",2009.07.03,1800.0,7.63121254423341,121.0,21.75,0,0,0,0,0,4
"Hinkey, Tyler L.",2009.07.10,1500.0,7.44889098743946,258.0,26.6118721461182,5,0,4,0,0,6
"Carthron, Andrae M.",2009.07.10,3000.0,8.1420381679994,222.0,28.1666666666665,2,2,1,0,0,6
"Brinkley, Jesse Lee",2009.07.10,30000.0,10.4446232609935,175.0,32.6666666666665,33,5,22,0,0,10
"Hinkey, Derek",2009.07.10,1500.0,7.44889098743946,163.0,29.1666666666665,7,1,7,0,0,6
"Myers, Loren E.",2009.07.10,2000.0,7.73657305989124,161.0,28.1666666666665,7,5,2,0,0,6
"Nugaev, Rustam R.",2009.07.10,4180.0,8.47373712586796,137.25,26.8333333333333,19,5,11,0,0,10
"Ziolowski, Tyler",2009.07.10,4500.0,8.54750327610757,131.0,22.8333333333333,11,7,6,0,0,6
"Santa Cruz, Leo",2009.07.10,2500.0,7.95971661120545,119.0,20.9166666666665,8,0,2,0,0,6
"Alexander, Scott",2009.07.17,1000.0,7.0434258793313,232.0,20.25,1,0,1,0,0,4
"Lee, Benjamin L.",2009.07.17,1500.0,7.44889098743946,213.0,25.5,1,1,0,0,0,4
"Bogere, Sharif",2009.07.17,1000.0,7.0434258793313,137.0,20.75,10,0,6,0,0,6
"Lara, Erislandy",2009.07.17,7500.0,9.05832889987356,155.0,26.25,6,0,4,0,0,6
"Boone, Darnell",2009.07.17,5000.0,8.6528637917654,153.0,29.5,16,11,6,0,0,6
"DeSpaigne, Yordanis",2009.07.17,2666.67,8.02425638234224,180.0,29.4166666666665,1,0,0,0,0,4
"Rigondeaux, Guillermo",2009.07.17,9000.0,9.24065045666752,123.0,28.8333333333333,1,0,1,0,0,4
"Guillen, Robert S.",2009.07.17,2800.0,8.07304529651245,122.0,33.0833333333333,4,2,0,0,0,4
"Johnson, Yudel",2009.07.17,2666.67,8.02425638234224,155.0,28.0833333333333,2,0,1,0,0,4
"Prescott, Breidis E.",2009.07.17,5333.33,8.71740168790277,137.0,26.1666666666665,21,0,18,0,0,10
"Vazquez, Migeul",2009.07.17,10000.0,9.34601097232534,136.0,22.5,24,3,12,0,0,10
"Bogere, Sharif",2009.08.07,2500.0,7.95971661120545,138.0,20.8333333333335,11,0,6,0,0,6
"Armenta, Rodolfo",2009.08.07,2500.0,7.95971661120545,139.0,25.0,7,1,5,0,0,6
"Angulo, Alfredo",2009.08.07,15000.0,9.75147608043351,155.0,27.0,15,1,12,0,0,10
"Rosado, Gabriel",2009.08.07,7500.0,9.05832889987356,154.0,23.5833333333335,12,3,7,0,0,10
"Dirrell, Anthony",2009.08.07,4000.0,8.42972024045119,166.5,24.8333333333335,17,0,14,0,0,8
"Contreras, Alfredo",2009.08.07,6000.0,8.83518534855935,166.5,24.4166666666667,11,5,4,0,0,8
"Ganjelashvili, Sergi",2009.08.07,3000.0,8.1420381679994,132.0,27.3333333333335,4,3,0,0,0,4
"Hayes, Darryl",2009.08.07,1000.0,7.0434258793313,134.0,20.4166666666667,1,0,0,0,0,4
"Jett, Terrance M.",2009.08.07,1250.0,7.26656943064551,134.5,34.3333333333335,4,14,2,0,0,4
"El Harrak, Said",2009.08.07,1500.0,7.44889098743946,147.0,22.0,6,0,2,0,0,6
"Vallejo, Jesus",2009.08.07,2000.0,7.73657305989124,146.0,26.4166666666667,3,0,3,0,0,6
"Russell, Gary A.",2009.08.07,3000.0,8.1420381679994,126.5,21.1666666666667,3,0,1,0,0,4
"Peterson, Anthony C.",2009.08.15,50000.0,10.9554488847594,137.0,24.4166666666667,28,0,19,0,0,10
"Arceo, Luis",2009.08.15,5000.0,8.6528637917654,137.0,30.5833333333335,21,8,14,0,0,10
"Donaire, Nonito",2009.08.15,150000.0,12.0540611734276,115.0,26.75,21,1,14,1,1,12
"Escobar, Danny",2009.08.15,1500.0,7.44889098743946,144.0,20.5,2,0,2,0,0,4
"Concepcion, Bernabe",2009.08.15,50000.0,10.9554488847594,125.5,21.5833333333335,28,2,16,1,1,12
"Magdaleno, Diego",2009.08.15,3500.0,8.29618884782666,130.5,22.8333333333335,10,0,3,0,0,6
"Melligen, Mark J.",2009.08.15,8500.0,9.18349204282757,145.0,23.3333333333335,15,1,11,0,0,10
"Zepeda, Ernesto",2009.08.15,5000.0,8.6528637917654,145.0,32.7143835616439,39,12,34,0,0,10
"Roman, Jose Javier",2009.08.15,1500.0,7.44889098743946,133.0,21.5,5,0,4,0,0,4
"Small, Carlos",2009.08.15,1500.0,7.44889098743946,132.0,24.5833333333335,2,1,1,0,0,4
"Sillah, Ismayl",2009.08.15,3000.0,8.1420381679994,178.0,24.5,8,0,7,0,0,6
"Hinkey, Tyler L.",2009.08.29,1400.0,7.37989811595251,254.0,26.6952054794517,5,1,4,0,0,4
"Banks, Yohan A.",2009.08.29,1500.0,7.44889098743946,265.0,34.25,2,3,1,0,0,4
"Delorme, Theron",2009.08.29,1000.0,7.0434258793313,132.0,27.7253424657533,1,0,0,0,0,4
"Gilbert, Joseph S.",2009.08.29,7000.0,8.98933602838661,169.5,33.1666666666667,17,2,13,0,0,8
"Stovall, Ivan",2009.08.29,5000.0,8.6528637917654,170.5,30.25,10,4,7,0,0,8
"Cruz, Orlando",2009.09.19,15000.0,9.75147608043351,125.0,28.1666666666667,16,0,7,0,1,10
"Lock, Cornelius E.",2009.09.19,15000.0,9.75147608043351,126.0,33.7812785388128,18,4,11,0,1,10
"Katsidis, Michael",2009.09.19,125000.0,11.8717396166336,135.0,29.0833333333333,25,2,21,1,1,12
"Perez, Michael A.",2009.09.19,2000.0,7.73657305989124,133.0,19.6666666666667,4,0,2,0,0,4
"Ellis, Richard",2009.09.19,1400.0,7.37989811595251,133.0,30.0833333333333,4,2,2,0,0,4
"Juarez, Ricardo",2009.09.19,80000.0,11.4254525140052,126.0,29.4166666666667,28,4,20,1,1,12
"Mayweather, Floyd",2009.09.19,10000000.0,16.2537662513075,146.0,32.5833333333333,39,0,25,0,1,12
"Marquez, Juan Manuel",2009.09.19,2000000.0,14.6443283388734,142.0,36.0833333333333,50,4,37,0,1,12
"Lara, Erislandy",2009.09.19,7000.0,8.98933602838661,155.0,26.4166666666667,7,0,4,0,0,6
"Ouali, Said",2009.09.19,7500.0,9.05832889987356,146.5,30.3333333333333,25,3,17,0,0,8
"Rios-Gil, Francisco",2009.09.19,3500.0,8.29618884782666,148.0,23.25,16,10,11,0,0,8
"Savage, Dion",2009.09.19,3500.0,8.29618884782666,167.5,22.5833333333333,5,0,3,0,0,6
"Myers, Loren E.",2009.09.19,2500.0,7.95971661120545,167.5,28.3333333333333,7,6,2,0,0,6
"Vargas, Jessie",2009.09.19,4000.0,8.42972024045119,140.0,20.3333333333333,5,0,2,0,0,6
"Tovar, Raul E.",2009.09.19,2250.0,7.85435609554762,141.0,20.811415525111,6,1,2,0,0,6
"DeMarco, Antonio",2009.10.31,60000.0,11.1377704415534,134.5,23.75,22,1,15,1,0,12
"Agbeko, Joseph",2009.10.31,120000.0,11.8309176221133,118.0,32.5833333333333,27,1,22,1,0,12
"De La Rosa, James",2009.10.31,15000.0,9.75147608043351,150.0,21.9166666666665,19,0,12,0,0,10
"Williamson, Davarryl",2009.10.31,10000.0,9.34601097232534,219.0,41.25,26,5,22,0,0,12
"Stiverne, Bermane",2009.10.31,5000.0,8.6528637917654,236.0,30.9166666666665,17,1,16,0,0,8
"Quintero, Marvin J.",2009.10.31,3000.0,8.1420381679994,134.0,22.8344748858415,16,2,12,0,0,6
"Estrada, Walter",2009.10.31,4500.0,8.54750327610757,131.0,33.4166666666665,35,10,24,0,0,6
"Santana, Angelo",2009.10.31,1500.0,7.44889098743946,137.0,21.5,6,0,4,0,0,6
"Gonzales, Miguel A.",2009.10.31,4000.0,8.42972024045119,138.0,23.9166666666665,6,1,6,0,0,6
"Casamayor, Joel",2009.11.06,7000.0,8.98933602838661,146.0,39.3333333333335,36,4,22,0,0,10
"Davis, Jason L.",2009.11.06,16200.0,9.82843712156963,142.0,27.5833333333335,11,4,3,0,0,10
"Judah, Zab",2009.11.06,10000.0,9.34601097232534,145.0,32.0833333333335,37,6,25,0,0,10
"Pacheco, Jose",2009.11.06,2150.0,7.80889372147087,124.0,25.4166666666667,2,8,0,0,0,6
"Escobar, Danny",2009.11.13,1500.0,7.44889098743946,141.5,20.75,3,0,3,0,0,4
"Armenta, Rodolfo",2009.11.13,1000.0,7.0434258793313,143.0,25.25,7,2,5,0,0,4
"Marroquin, Roberto",2009.11.13,5175.0,8.68726521848273,123.0,20.25,10,0,7,0,0,6
"Napunyi, Anthony",2009.11.13,3150.0,8.19082833216884,125.0,27.0833333333335,14,7,7,0,0,6
"Magdaleno, Diego",2009.11.13,5500.0,8.74817397156972,131.0,23.0833333333335,11,0,3,0,0,8
"Reynoso, Jose L.",2009.11.13,1400.0,7.37989811595251,146.5,25.1666666666667,10,3,1,0,0,6
"Melligen, Mark J.",2009.11.13,8500.0,9.18349204282757,147.0,23.5833333333335,16,1,12,0,0,10
"Cotto, Abner J.",2009.11.14,3000.0,8.1420381679994,133.0,22.25,4,0,3,0,0,6
"Chavez, Julio Cesar Jnr.",2009.11.14,85000.0,11.4860771358216,160.0,23.75,40,0,30,0,1,10
"Cotto, Miguel A.",2009.11.14,4000000.0,15.3374755194333,145.0,29.0833333333335,34,1,27,2,1,12
"Pacquiao, Emmanuel",2009.11.14,7400000.0,15.9526611585236,144.0,30.9534246575342,49,3,37,2,1,12
"Foreman, Yuri",2009.11.14,41250.0,10.763076992112,154.0,29.25,27,0,8,1,1,12
"Soto Karass, Jesus",2009.11.14,45000.0,10.8500883691016,147.0,27.0833333333335,24,3,16,0,1,10
"Gomez, Alfonso S.",2009.11.14,50000.0,10.9554488847594,145.5,29.0833333333335,20,4,10,0,1,10
"Garcia, Rodrigo",2009.11.14,3000.0,8.1420381679994,150.0,20.8333333333335,4,0,4,0,0,4
"Vierra, Martin J.",2009.11.14,2000.0,7.73657305989124,152.0,22.75,5,2,2,0,0,4
"Marquez, Ernie",2009.11.14,3000.0,8.1420381679994,112.0,27.8333333333335,9,5,3,0,0,6
"Korobov, Matvey",2009.11.14,7500.0,9.05832889987356,160.5,26.8333333333335,7,0,6,0,0,6
"Winchester, James",2009.11.14,5000.0,8.6528637917654,158.0,31.0833333333335,10,2,3,0,0,6
"Santomauro, Rocco",2009.11.20,1000.0,7.0434258793313,128.0,21.9890410958872,0,0,0,0,0,4
"Kilfian, Harley D.",2009.11.20,1500.0,7.44889098743946,179.0,30.25,8,2,7,0,0,6
"Liles, Patrick M.",2009.11.20,1500.0,7.44889098743946,179.0,31.5833333333335,7,2,7,0,0,6
"Frazier, Johnny D.",2009.11.20,1000.0,7.0434258793313,131.0,31.75,2,2,2,0,0,4
"Yanez, David H.",2009.11.20,1000.0,7.0434258793313,130.5,19.75,0,1,0,0,0,4
"Vega, Erick A.",2009.11.20,1000.0,7.0434258793313,199.0,30.5833333333335,8,4,6,0,0,4
"Riding-In, Kevin j.",2009.11.20,1000.0,7.0434258793313,167.0,30.0,1,0,0,0,0,4
"Jargal, Bayan",2009.12.11,2000.0,7.73657305989124,142.0,27.8634703196349,13,0,9,0,0,6
"Hinkey, Derek",2009.12.11,1200.0,7.22574743612525,163.0,29.5301369863014,8,1,7,0,0,6
"Mendez, Paul",2009.12.11,2500.0,7.95971661120545,165.0,20.7801369863014,2,1,2,0,0,6
"Gonzales, Brandon G.",2009.12.11,3000.0,8.1420381679994,162.0,25.5301369863014,8,0,7,0,0,6
"Villereal, Victor",2009.12.11,1800.0,7.63121254423341,162.0,30.0082191780823,8,4,4,0,0,6
"Benavidez, Jose L.",2010.01.16,2500.0,7.94335375399497,139.0,17.6666666666665,0,0,0,0,0,4
"Lenk, Anthony M.",2010.01.16,2500.0,7.94335375399497,145.0,22.1529680365263,5,1,3,0,0,6
"Sillah, Ismayl",2010.01.16,3000.0,8.12567531078892,183.0,24.9166666666665,9,0,8,0,0,6
"Martirosyan, Vanes N.",2010.01.16,35000.0,10.5824110836102,153.0,23.6666666666665,26,0,17,0,0,10
"Ouma, Kassim",2010.01.16,10000.0,9.32964811511486,150.0,31.1337899543378,26,6,16,0,0,10
"Magdaleno, Diego",2010.01.16,5500.0,8.73181111435924,131.5,23.25,12,0,3,0,0,8
"Robles, Gerardo",2010.01.16,5000.0,8.63650093455491,131.5,27.1666666666665,9,8,5,0,0,8
"Alcolea, Juan R.",2010.01.22,1500.0,7.43252813022898,136.0,23.0,0,1,0,0,0,4
"Battease, Brian D.",2010.01.22,1000.0,7.02706302212081,127.0,26.3333333333333,5,1,1,0,0,4
"Vega, Erick A.",2010.01.22,1500.0,7.43252813022898,200.0,30.75,8,4,6,0,0,6
"Namauu, Henry CJ",2010.01.22,1500.0,7.43252813022898,200.0,25.3333333333333,4,3,3,0,0,6
"Santiago, Alexis I.",2010.01.22,1000.0,7.02706302212081,122.0,19.3333333333333,1,0,0,0,0,4
"Romero, Pedro Rodrigo",2010.01.22,1000.0,7.02706302212081,124.0,22.25,1,3,0,0,0,4
"Santomauro, Rocco",2010.01.22,1000.0,7.02706302212081,127.0,22.1557077625537,1,0,0,0,0,4
"Yanez, David H.",2010.01.22,1000.0,7.02706302212081,129.0,19.9166666666665,0,1,0,0,0,4
"Kilfian, Harley D.",2010.01.29,3000.0,8.12567531078892,177.0,30.4166666666665,8,3,7,0,0,6
"Ahmedov, Gayrat",2010.01.29,1000.0,7.02706302212081,176.0,31.0,12,0,8,0,0,6
"Lara, Erislandy",2010.01.29,7840.0,9.08630185648313,154.5,26.75,9,0,5,0,0,10
